#{"t_start": 1759395476.0053387, "env_id": "LunarLander-v3"}
r,l,t
-57.296127,139,86.33041
-27.62818,153,86.680497
-49.155712,90,86.892307
-139.782954,69,87.040126
-75.99442,115,87.31045
-123.533262,109,87.569851
-71.40574,71,87.744708
-49.239951,66,87.902049
-125.558327,93,88.122406
-256.423954,150,88.457159
-102.53717,103,88.702823
-121.488804,101,88.929631
-60.40417,105,89.172683
-68.496359,121,89.455901
-100.891734,84,89.644514
-44.931831,68,89.806127
-71.597008,72,89.967946
-97.763691,112,90.217869
-77.917907,88,90.41818
-46.006862,107,90.66644
-77.617718,131,91.00826
-213.10529,104,91.252888
-79.787013,85,91.449663
-166.691051,105,91.700842
-65.29991,108,91.958101
-90.162779,80,92.146306
-94.581781,105,92.390749
-100.053088,78,92.573243
-66.246299,70,92.766335
-131.321382,104,93.022508
-44.914064,105,93.258063
-38.410911,65,93.414873
-87.412492,91,93.628387
-85.138017,87,93.838962
-98.428707,117,94.098576
-55.826675,117,94.366205
-103.320912,132,94.680833
-48.184668,88,94.890889
-75.231922,89,95.102897
-90.565286,121,95.382774
-93.284745,129,95.68159
-101.067876,78,95.868444
-85.847869,148,96.212729
-89.407659,86,96.400983
-95.134637,86,96.600342
-93.881995,65,96.753351
-69.307341,63,96.908202
-45.235042,138,97.223008
-87.052213,87,97.423688
-111.138596,84,97.613116
-75.228792,116,97.880317
-93.366511,108,98.128498
-63.112438,147,98.469509
-141.762264,66,98.613777
-74.564683,93,98.839414
-53.795318,63,98.995225
-88.618312,98,99.211782
-33.562006,75,99.380781
-86.3652,86,99.5841
-61.294137,107,99.846988
-9.91459,71,100.001459
-41.40181,84,100.198254
-68.9515,95,100.420535
-79.052637,99,100.65314
-63.831266,79,100.845682
-95.490399,111,101.100043
-218.851285,126,101.415024
-57.077213,113,101.679595
-111.525968,132,101.980572
-89.57048,86,102.178881
-81.721851,87,102.380391
-48.154526,94,102.594858
-59.604479,85,102.780733
-111.108919,106,103.033574
-68.041674,103,103.265191
-40.406299,76,103.448806
-88.915546,82,103.638522
-75.286092,88,103.858198
-87.069888,68,104.013698
-82.208551,111,104.270974
-45.552954,89,104.496793
-40.704807,73,104.658616
-60.51207,84,104.858306
-40.700967,65,105.00523
-41.481301,108,105.24892
-18.270443,129,105.559487
-162.016346,88,105.763732
-83.202767,57,105.891034
-79.603471,94,106.1184
-69.436922,102,106.366105
-69.852155,77,106.537218
-91.296942,98,106.756118
-89.537381,101,106.988737
-68.355866,56,107.11588
-100.397491,110,107.358422
-84.005188,89,107.558771
-73.789113,101,107.786242
-21.414804,144,108.129314
-81.340575,85,108.31847
-54.633714,74,108.488965
-79.877346,63,108.629641
-86.967025,92,108.840478
-74.683106,102,109.076414
-33.512192,111,109.331163
-12.594892,116,109.601262
-67.835964,91,109.805202
-41.663003,94,110.024879
-40.204385,65,110.171625
-119.8353,92,110.39859
-74.879192,68,110.560932
-34.881425,73,110.728745
-70.525664,82,110.924833
-15.448005,77,111.11233
-77.726965,134,111.442392
-130.633866,82,111.642016
-79.099153,76,111.821294
-164.229834,115,112.095502
-43.338045,73,112.27124
-65.514931,91,112.491819
-88.689615,109,112.762434
-80.282449,72,112.963263
-90.00932,116,113.261707
-73.612353,103,113.506901
-28.606298,83,113.698663
-72.059633,69,113.864541
-73.174323,121,114.151077
-40.565504,149,114.508886
-36.878169,100,114.746676
-85.775885,112,115.000796
-122.407071,161,115.388821
-82.504906,103,115.632123
-23.772979,73,115.813005
-56.763122,108,116.071364
-67.069616,67,116.232284
-24.544289,74,116.41078
-70.809553,83,116.603475
-54.082369,65,116.752513
-52.247005,98,116.988838
-22.121092,73,117.168709
-40.804725,114,117.422958
-48.476678,84,117.615984
-80.9292,83,117.8048
-45.898276,71,117.97516
-19.892492,73,118.135199
-43.673495,78,118.309118
-84.172648,90,118.524766
-108.884458,91,118.736922
-74.686993,95,118.950609
-70.687773,105,119.218874
-195.759549,180,119.662876
-83.042264,108,119.912774
-53.515202,64,120.068801
-45.302994,105,120.315546
-67.906204,101,120.546022
-66.052248,101,120.781144
-89.776808,77,120.976038
-104.662543,107,121.220937
-23.380938,102,121.46416
-72.458111,71,121.629992
-95.920512,98,121.851554
-46.998021,75,122.031389
-69.876703,83,122.225571
-85.933139,93,122.431662
-24.795626,94,122.648905
-62.001238,104,122.889177
-85.048048,94,123.110227
-54.753023,74,123.27898
-73.646949,73,123.462921
-28.370405,82,123.652272
-99.209046,97,123.873011
-49.440853,116,124.175781
-92.529041,116,124.568885
-80.011453,79,124.779029
-92.868303,96,125.086
-53.59656,62,125.250962
-75.904566,136,125.598892
-188.086285,168,126.035666
-49.794423,75,126.228517
-63.26829,102,126.501612
-85.858395,107,126.825098
-75.282989,99,127.107257
-65.396169,87,127.367061
-57.562336,116,127.738132
-46.171144,67,128.042905
-41.616524,60,128.235058
-9.373005,149,128.680877
-56.831219,59,128.838967
-84.238623,103,129.141544
-27.018125,64,129.322568
-49.856758,86,129.561175
-53.91176,92,129.849265
-35.287653,166,130.270989
-17.83126,116,130.593091
-70.129082,75,130.79651
-79.748981,101,131.081897
-128.500019,82,131.303007
-60.882991,67,131.46116
-50.892549,113,131.721919
-59.575367,73,131.896011
-34.08137,116,132.239418
-66.381506,74,132.462418
