#{"t_start": 1759412282.3366299, "env_id": "LunarLander-v3"}
r,l,t
-423.476682,90,45.951761
-585.052344,96,46.008898
-1036.752318,156,46.093603
-749.371114,90,46.150059
-500.059454,91,46.191483
-640.897603,87,46.496398
-933.50806,128,46.574701
-611.772991,105,46.632616
-622.165571,124,46.695147
-598.552216,82,46.739915
-501.565095,88,47.057922
-3208.058175,315,47.246592
-591.98456,127,47.308667
-746.769807,133,47.627958
-599.705375,113,47.68996
-700.486584,127,47.759932
-507.149549,96,47.807609
-676.603325,97,48.106646
-1033.750634,182,48.210953
-536.607762,112,48.272281
-1275.587116,187,48.60499
-5135.627536,424,48.841557
-1403.202639,182,49.182568
-473.321354,85,49.232011
-644.134869,93,49.280354
-3049.620779,330,49.767218
-1187.004242,168,49.876219
-548.329509,87,49.91663
-839.333751,169,50.300918
-880.92336,137,50.382041
-1405.029188,185,50.479408
-577.327087,124,50.543983
-1158.976263,146,50.863918
-638.90219,87,50.919842
-1114.229835,145,51.001256
-730.866999,142,51.070316
-896.026285,130,51.390438
-491.154532,86,51.439852
-1603.236365,201,51.556262
-1263.694044,184,51.891931
-748.664447,104,51.954879
-538.830289,76,51.999313
-550.753527,79,52.043261
-976.373137,141,52.113629
-1004.332432,143,52.431751
-546.077546,128,52.499387
-500.292585,85,52.553316
-1396.486474,203,52.658262
-689.092938,85,53.01793
-542.279103,80,53.068606
-952.728288,149,53.156049
-6411.76678,503,53.820085
-759.60432,127,53.887028
-628.204968,75,53.928887
-468.122609,78,54.275481
-498.703963,77,54.321462
-3759.028791,348,54.51725
-519.614934,104,54.831636
-1106.852727,137,54.909282
-661.980049,86,54.955849
-409.973508,80,55.007386
-425.797032,73,55.042729
-563.607603,117,55.341844
-567.625112,115,55.409717
-599.587585,76,55.452431
-753.864815,148,55.526635
-773.694974,166,55.974333
-710.009004,115,56.046768
-483.279393,78,56.094802
-1441.629002,186,56.205526
-510.389846,105,56.637643
-628.918326,79,56.692916
-692.307187,97,56.753961
-502.127362,79,56.793076
-956.359168,128,56.875519
-458.96772,96,56.925601
-688.859851,119,57.267342
-1188.779138,175,57.366051
-2449.535514,266,57.823997
-494.31263,74,57.868154
-535.39004,82,57.919144
-588.130082,112,57.989144
-557.216302,80,58.0343
-444.924349,83,58.075407
-403.744545,76,58.364458
-582.188174,85,58.414027
-663.316399,94,58.473458
-428.455539,74,58.519257
-669.062515,94,58.564289
-948.34078,134,58.627768
-562.30993,90,58.92899
-664.803629,117,58.996503
-468.629346,89,59.048069
-410.111113,76,59.088702
-1391.75331,187,59.413689
-609.404878,94,59.460249
-637.030778,77,59.514507
-1379.776338,187,59.609488
-675.241022,110,59.656844
-668.910059,123,59.977012
-4500.138027,417,60.44949
-656.456483,98,60.504608
-632.996482,90,60.55911
-1331.603237,205,60.67856
-1723.593253,220,61.047196
-555.126552,97,61.1022
-437.672058,75,61.148554
-1360.386501,207,61.245035
-652.634834,98,61.568435
-674.539842,106,61.629308
-686.742708,103,61.690823
-961.469095,175,61.780832
-496.854581,100,62.096868
-808.864515,121,62.168064
-1901.004568,235,62.300389
-943.276081,157,62.662555
-965.271244,147,62.729441
-787.362286,92,62.797859
-1609.670143,199,62.896836
-635.689242,125,63.258904
-1217.291652,206,63.378852
-640.372927,106,63.430558
-699.340268,123,63.779325
-1163.946223,163,63.900615
-415.950078,87,63.955462
-996.645715,122,64.012892
-1281.624197,150,64.377205
-672.361582,86,64.422
-895.327316,116,64.485372
-598.711357,78,64.535562
-633.092962,98,64.583317
-2128.370662,270,64.968979
-416.243214,83,65.020216
-415.000305,73,65.060163
-668.550045,104,65.120494
-918.270355,130,65.440284
-921.1423,127,65.503552
-471.098529,112,65.56903
-556.687933,77,65.605312
-770.362547,115,65.668632
-519.449549,104,65.976545
-637.242454,75,66.022317
-585.987729,85,66.06903
-440.033026,82,66.113179
-994.034491,123,66.170995
-524.380862,74,66.438281
-708.600806,119,66.512735
-414.794414,103,66.561544
-868.509102,121,66.631852
-759.345212,137,66.705232
-1051.816739,163,67.039218
-633.232205,99,67.092625
-854.884968,135,67.161814
-1089.379268,141,67.472239
-479.417049,77,67.523454
-471.415111,89,67.571835
-702.438516,142,67.640185
-857.963817,110,67.705626
-463.983565,76,67.742231
-1531.5061,199,68.101261
-457.392653,83,68.148445
-439.584091,86,68.200034
-488.009876,73,68.232822
-1259.845484,157,68.540517
-577.166289,85,68.593159
-459.491574,90,68.647182
-533.335384,110,68.707042
-791.02312,125,68.772418
-742.083817,121,69.093915
-464.451251,79,69.143843
-654.74212,91,69.199214
-425.580533,79,69.243624
-1385.60943,206,69.578741
-652.950168,103,69.6381
-1847.846272,215,69.757141
-1188.515487,148,69.824472
-822.626603,111,70.165242
-1237.415774,171,70.27292
-1824.268877,226,70.373501
-584.608625,91,70.702235
-917.772484,130,70.779925
-764.222469,116,70.845749
-466.613994,75,70.876479
-548.010782,74,70.909375
-430.977608,82,71.237831
-844.061548,139,71.317824
-1012.427944,192,71.454691
-1331.166295,174,71.793979
-502.262412,77,71.836287
-460.335438,81,71.88152
-877.904544,123,71.95236
-654.513211,107,72.011212
