#{"t_start": 1759397050.241813, "env_id": "LunarLander-v3"}
r,l,t
201.112926,570,96.103084
-40.57999,580,97.457177
-149.690641,783,97.852543
215.500635,510,98.101634
-56.455001,446,99.413782
-75.553796,373,99.623323
-109.510397,509,99.875098
141.951979,623,100.186863
208.026109,458,100.414627
242.170458,431,101.794564
-88.156579,530,102.057085
126.830054,977,102.5367
139.376589,736,103.994194
113.622873,717,104.347559
213.716575,449,104.567789
-68.56155,1000,106.182518
-69.317748,1000,106.673667
-88.470582,511,108.07109
153.09772,792,108.487224
189.123985,419,108.693992
-29.156244,342,108.864648
67.8247,1000,110.450118
-73.15024,474,110.681402
285.507615,504,110.933818
-54.839817,228,111.045363
-15.987188,346,112.28515
-90.228951,499,112.550907
246.529839,599,112.847036
196.928158,578,113.132742
-75.023803,400,114.37821
168.366167,756,114.763314
148.521749,812,115.171073
163.407687,510,116.475458
178.919566,550,116.757479
213.520325,503,117.009242
229.248295,585,117.294641
-38.98128,379,118.521508
229.34414,597,118.834577
161.428834,522,119.092253
-58.515431,419,119.297447
-63.774158,425,120.553509
190.153517,899,121.0156
179.243256,741,121.378833
223.621394,454,122.68165
200.004292,508,122.947989
-64.160772,319,123.107057
182.039765,790,123.494213
192.025062,513,124.786873
164.66871,562,125.093323
207.155707,457,125.325455
-80.194845,365,125.537574
156.169542,344,125.703865
-77.889528,347,126.913202
175.481628,361,127.098259
117.022786,525,127.358201
175.838074,736,127.728247
-101.53231,471,129.0256
207.572549,651,129.356575
201.198985,431,129.572912
165.194812,491,129.81843
222.434769,494,131.132678
-61.342827,444,131.353231
235.896305,473,131.588228
241.453249,497,131.843417
209.609959,377,133.050536
-52.916788,459,133.303519
195.578808,510,133.558342
-93.447506,404,133.753303
203.550871,434,133.971212
200.407215,463,135.263701
128.695958,759,135.643484
156.589851,826,136.063641
205.722473,534,137.387482
204.780638,500,137.633503
211.100498,551,137.905386
176.472685,464,138.13358
236.431618,422,139.359565
-64.155289,252,139.49385
162.032158,703,139.84501
-13.813017,347,140.01343
-43.625409,292,140.156356
225.507151,438,141.36684
241.681378,419,141.59098
177.667058,880,142.030616
-75.958005,367,142.211069
144.05503,632,143.630512
170.043719,461,143.863697
-27.235721,378,144.047649
176.025452,778,145.4868
186.500261,717,145.855718
85.034674,940,146.326187
-39.789617,364,147.545633
159.537059,619,147.8761
182.38578,388,148.069008
215.133253,395,148.263674
-52.568913,334,148.423965
210.944092,437,149.754052
142.182715,501,150.013707
206.86828,382,150.205417
199.083835,412,150.405558
195.376382,453,150.638996
189.615365,439,151.92619
160.798446,699,152.289145
-65.739226,337,152.458548
202.91167,444,152.67556
203.888344,506,153.979154
219.805022,445,154.212307
152.891148,593,154.504102
-24.024536,402,154.704045
219.519086,402,155.92905
228.83738,422,156.158901
189.51802,414,156.367354
-2.850614,463,156.585765
212.087354,461,156.819384
1.351318,316,158.02072
-47.751237,194,158.124198
-51.613062,331,158.298995
251.270265,538,158.563978
255.114194,447,158.789778
242.282483,393,158.985432
-74.59347,343,160.322355
236.859277,579,160.606192
-92.835173,394,160.805913
225.72035,452,161.026609
245.137851,668,162.529143
235.289314,548,162.807741
114.266552,473,163.049332
131.671426,616,163.361058
159.486177,440,164.656519
-102.884543,418,164.868017
-187.604117,696,165.214158
230.101684,604,166.574221
-51.080735,311,166.75425
182.783322,428,166.966277
-53.719375,279,167.109308
-190.74814,439,167.344373
-53.11854,254,167.467707
228.642312,415,168.706467
172.638811,483,168.967056
-79.056388,280,169.106551
-44.871103,251,169.234588
192.014149,429,169.449371
207.369015,399,169.644454
143.924668,400,170.91452
158.070391,526,171.187064
157.898348,536,171.459304
-10.171211,385,171.652698
213.427088,383,172.864347
231.567439,378,173.08429
-64.919918,302,173.234692
159.761196,582,173.524502
145.612196,570,173.823668
219.60167,424,175.108878
209.088325,502,175.364318
178.754086,531,175.627103
146.83921,452,175.859573
189.052664,435,177.104482
-62.610305,234,177.234799
181.727778,503,177.48276
251.709776,469,177.714703
-52.179328,205,177.81443
169.404471,512,179.106615
255.226965,573,179.417157
200.761736,461,179.637923
166.422491,426,179.856641
173.078003,515,180.11731
-79.373827,350,181.325825
232.015973,454,181.559951
235.669952,498,181.809956
-85.141246,309,181.968684
-174.313157,522,183.307828
-49.603891,381,183.51497
-111.98786,410,183.722885
158.104006,656,184.049824
182.57137,489,184.29484
236.875759,485,185.58459
-22.025169,354,185.761102
-8.948831,316,185.915017
195.231957,390,186.10963
214.397442,391,186.309746
-80.608118,254,187.443127
216.016306,425,187.665107
204.791572,476,187.912274
213.596424,413,188.119839
207.462506,390,188.313292
229.625959,428,189.570487
-40.985319,345,189.759934
229.159505,428,189.976787
190.744072,354,190.155177
238.6261,493,190.399739
231.060806,415,191.632727
219.085842,366,191.834968
247.455153,417,192.045135
224.310625,375,192.235788
-45.804588,257,192.356899
-47.678744,254,192.491191
204.024207,430,193.760271
-10.819867,305,193.925167
-71.656534,239,194.045278
-66.188549,285,194.18776
-34.122554,254,194.310621
-35.659548,361,194.490844
-19.642407,316,194.647064
215.938075,426,195.884944
-80.374455,294,196.03931
242.797837,427,196.250145
-43.980012,307,196.408829
234.665365,408,196.609622
205.313757,448,197.847797
214.60998,454,198.085115
192.30847,465,198.321032
207.247689,400,198.519044
-158.178945,471,198.750207
200.154492,424,200.005273
133.687216,589,200.305437
-33.602579,341,200.469806
65.738419,1000,202.041325
211.806609,432,202.267717
145.080277,538,202.540296
-17.761495,304,202.695276
202.666528,416,202.902111
228.651038,467,204.179721
156.542122,522,204.441218
246.283151,420,204.645166
-63.219498,462,204.871458
183.969733,407,206.09528
194.425612,460,206.350214
-58.389159,350,206.52462
177.6378,545,206.795347
-47.926125,300,206.945172
204.678938,306,207.100524
215.418248,501,208.397493
159.290157,748,208.777625
196.040927,543,209.050352
190.382685,514,210.427924
168.570032,434,210.655705
-57.776246,531,210.920394
245.747867,470,211.151987
226.078025,512,212.487787
-33.84487,420,212.710316
177.626601,556,212.984193
186.356629,479,213.21783
194.951922,501,214.529192
-184.734765,683,214.895681
194.273028,462,215.129813
144.501042,512,215.387125
